STT,Nhóm,Tên thiết bị,Model/Thông số,Số lượng,Đơn giá (VNĐ),Thành tiền (VNĐ),Mức ưu tiên,Lý do,Tác dụng,Ghi chú
1,N1 Lõi tối thiểu,"ESP32-S3 DevKitC-1","N16R8 16MB flash 8MB PSRAM",2,250000,500000,Bắt buộc,"Bộ não node chạy firmware; mua 2 (1 chính + 1 dự phòng) vì OTA test và rủi ro brick cần con spare","Đọc BMS (RS485-Modbus ưu tiên / UART JK-native / BLE), normalize, queue local, gửi MQTT/HTTPS lên backend","BẮT BUỘC bản S3 có PSRAM cho MQTT-TLS; S3 có sẵn BLE làm đường đọc dự phòng không dây"
2,N1 Lõi tối thiểu,"Pigtail JST 4-pin cho cổng UART + CAN&RS485","JST 1.25mm 4-pin pigtail (đo pitch thật khi nhận BMS trước khi mua)",2,50000,100000,Bắt buộc,"BMS vỏ nhôm mới có 2 cổng data connector JST nhỏ: CAN&RS485 (Modbus) và UART (JK-native); cần pigtail tách dây đấu vào MAX485/ESP32","Lấy tín hiệu RS485 A/B (Modbus 115200) hoặc UART-TTL 115200 từ BMS","Cổng UART pinout GND/RX/TX/VBAT — VBAT ~29V (8S) TUYỆT ĐỐI KHÔNG nối ESP32. Cổng CAN&RS485: xác định chân A/B/GND bằng manual/seller/đo trước khi đấu"
3,N1 Lõi tối thiểu,"Module RS485 MAX485","XY-017 hoặc bản auto-direction (TTL→RS485)",2,15000,30000,Bắt buộc,"Đường đọc chính: BMS có RS485 NATIVE trên cổng CAN&RS485 nói Modbus RTU 115200 8N1 (function 0x03, nhóm thanh ghi realtime 0x1200); mua 2 (1 dùng + 1 dự phòng)","ESP32 đọc telemetry qua Modbus — TÁI DÙNG modbus_bms.cpp + ModbusMaster + preset JK (0x1200) sẵn có trong firmware: set BMS_MODEL=3, đổi BMS_RS485_BAUD 9600→115200, verify register map","Chọn bản auto-direction thì khỏi cần chân DE/RE (BMS_RS485_DE_PIN=-1), bản thường nối DE+RE vào GPIO16; TRONG APP JK phải đặt Device Address = 1-15 (0 = master mode, slave Modbus TẮT); verify map với PDF 'BMS RS485 Modbus V1.1' (repo syssi/esphome-jk-bms, docs/pb2a16s20p)"
4,N1 Lõi tối thiểu,"Điện trở 120Ω (pack)","1/4W",1,5000,5000,Tùy chọn,"Termination bus RS485 — bus 1 thiết bị + dây ngắn (<2m) thường KHÔNG cần","Gắn 2 đầu bus nếu gặp lỗi frame/nhiễu","Mua kèm cho rẻ, phòng khi cần"
5,N1 Lõi tối thiểu,"Breadboard 830 điểm","830 point",1,40000,40000,Bắt buộc,"Cắm thử mạch giai đoạn dev trước khi hàn cố định","Đế lắp ráp tạm ESP32 + module",""
6,N1 Lõi tối thiểu,"Dây Dupont (3 loại)","2.54mm 40 sợi/set: đực-đực + đực-cái + cái-cái",3,20000,60000,Bắt buộc,"Nối ESP32 với các module trên breadboard","Dây tín hiệu/nguồn tháo lắp nhanh","Mỗi loại 1 set"
7,N1 Lõi tối thiểu,"Cáp USB-C","data+power",2,30000,60000,Bắt buộc,"Nạp firmware + cấp nguồn khi dev","Kết nối ESP32 với laptop (flash + Serial monitor)",""
8,N2 Nguồn,"Adapter 5V","5V/3A đầu DC 5.5x2.5mm",1,36000,36000,Nên có,"Cấp nguồn ESP32 ổn định khi dev trên bàn","Nguồn 5V cho ESP32","≥2A tránh reset khi WiFi/TLS phát; thegioiic bản đầu 5.5x2.1 hết hàng → chốt bản đầu 5.5x2.5 (36k) + jack cái 2.5 cho khớp (STT 11); check cực tính center-positive trước khi hàn"
9,N2 Nguồn,"Module hạ áp DC-DC","LM2596 (24V→5V)",2,15000,30000,Nên có,"Lấy nguồn từ chính cục pin 24V khi triển khai thực địa","Hạ 24V pin xuống 5V cho ESP32","LM2596 chịu input tới ~40V nên 24-29V OK; chỉnh ra đúng 5V trước khi cắm ESP32"
10,N2 Nguồn,"Cầu chì + giá đỡ","2-5A",1,20000,20000,Nên có,"Pin 24V 30Ah dòng ngắn mạch lớn - phải bảo vệ","Ngắt khi quá dòng/chập mạch","BẮT BUỘC nếu cấp nguồn ESP32 từ pin"
