STT,Nhóm phân hệ,Tên thiết bị,Model / Thông số,Số lượng,Cấp mua sắm,Mục đích,Ghi chú
1,A1 Edge compute,ESP32-S3 DevKitC-1,N16R8 16MB flash 8MB PSRAM,2,Cấp 0,Node chính chạy firmware,Ưu tiên bản S3 có PSRAM cho MQTT-TLS
2,A1 Edge compute,ESP32-S3 dự phòng,N16R8,1,Cấp 1,Backup khi hỏng,Không bắt buộc cho MVP
3,A1 Edge compute,Breadboard 830 điểm,830 point,2,Cấp 0,Cắm thử mạch giai đoạn dev,
4,A1 Edge compute,Perfboard PCB lỗ vạn năng,7x9cm,3,Cấp 1,Hàn bản cố định demo,
5,A1 Edge compute,ESP32 base board terminal vít,GPIO breakout,2,Cấp 1,Đế lắp gọn có domino,Tùy chọn
6,A1 Edge compute,Header pin cái 2.54mm,set,1,Cấp 1,Cắm ESP32 tháo được,
7,A1 Edge compute,microSD + module SD SPI,16GB + module,2,Cấp 3,Mở rộng local queue buffer mất mạng,
8,A1 Edge compute,Cáp USB-C,data+power,3,Cấp 0,Nạp firmware và cấp nguồn dev,
9,A2 RS485,Module RS485 auto-direction,XY-017 MAX485,2,Cấp 1,Chuyển TTL sang RS485,Loại auto đỡ khỏi code DE/RE
10,A2 RS485,Điện trở 120 ohm (pack),1/4W,1,Cấp 1,Terminating 2 đầu bus,Pack nhiều con
11,A2 RS485,Cáp đôi xoắn có shield,2 lõi 24AWG 20m,1,Cấp 1,Bus A/B chống nhiễu đi xa,
12,A2 RS485,Terminal block domino,2-3 chân,6,Cấp 2,Đấu nhiều BMS chung bus,
13,A3 CAN,Transceiver CAN,SN65HVD230,2,Cấp 3,ESP32 TWAI sang CAN bus,Chỉ khi BMS dùng CAN
14,A3 CAN,Điện trở 120 ohm CAN (pack),1/4W,1,Cấp 3,Terminating CAN bus,
15,A4 Pin+BMS,Pin LiFePO4 12V + BMS RS485,Daly/JBD/JK-BMS,3,Cấp 1,Đối tượng đo chính,Phải có register map và đổi unitId
16,A4 Pin+BMS,Pin + BMS dùng CAN,12V,1,Cấp 3,Test đường CAN,Tùy chọn
17,A5 Sensor redundant,Module đo V và I I2C,INA226,4,Cấp 3,Đo voltage/current độc lập với BMS,Phục vụ cross-source và energy
